timestamp_s,x_m,y_m
0.000,-0.1565,-2.8844
1.000,9.9557,5.1749
2.000,25.8842,-1.2034
3.000,35.1280,0.1433
4.000,47.1314,2.1207
5.000,62.4837,2.6805
6.000,75.2056,4.2835
7.000,86.4648,13.1582
8.000,93.9825,13.8834
9.000,101.0958,26.5543
10.000,109.8509,29.0894
11.000,119.7916,42.8884
12.000,120.5860,51.2332
13.000,129.8864,65.5219
14.000,129.5819,76.1357
15.000,133.1892,87.3509
16.000,132.6691,90.4331
17.000,128.0961,108.1314
18.000,127.0143,117.2015
19.000,119.8379,131.5247
20.000,113.7887,134.0009
21.000,114.8219,143.3459
22.000,108.6526,147.7262
23.000,94.0324,155.9177
24.000,88.6873,163.8701
25.000,86.6471,172.0393
26.000,75.9120,172.5121
27.000,66.4403,186.2797
28.000,57.4800,186.3179
29.000,53.9598,202.6753
30.000,47.7204,208.5697
31.000,42.0064,220.9071
32.000,34.9279,218.3667
33.000,32.0840,242.0890
34.000,28.5843,247.5892
35.000,25.7777,259.7868
36.000,28.2460,268.2030
37.000,30.4378,280.3874
38.000,35.5801,286.9290
39.000,35.1296,293.5176
40.000,39.3973,305.1931
41.000,49.3908,307.9755
42.000,57.2580,313.2810
43.000,65.2427,317.6089
44.000,79.9523,328.3883
45.000,86.3164,324.7308
46.000,89.1831,333.3755
47.000,99.5152,328.5411
48.000,107.9117,327.7907
49.000,125.0392,328.9757
50.000,125.2585,327.5338
51.000,136.2677,327.7004
52.000,143.1450,329.7037
53.000,147.3518,323.3234
54.000,161.3053,336.2804
55.000,168.5123,331.6262
56.000,175.2976,338.4523
57.000,182.3252,333.1060
58.000,181.9114,339.6204
59.000,196.1609,340.4341
