timestamp_s,x_m,y_m,speed_kmh,heading_rad
0.000,0.2401,0.0000,43.223,0.00000
0.020,0.4801,0.0000,43.199,0.00001
0.040,0.7208,0.0000,43.314,0.00002
0.060,0.9615,0.0000,43.333,0.00004
0.080,1.2017,0.0000,43.237,0.00007
0.100,1.4423,0.0001,43.302,0.00011
0.120,1.6841,0.0001,43.536,0.00016
0.140,1.9269,0.0002,43.707,0.00021
0.160,2.1691,0.0002,43.580,0.00027
0.180,2.4099,0.0003,43.352,0.00034
0.200,2.6501,0.0004,43.240,0.00041
0.220,2.8904,0.0005,43.248,0.00049
0.240,3.1283,0.0007,42.829,0.00058
0.260,3.3661,0.0008,42.790,0.00068
0.280,3.6025,0.0010,42.566,0.00079
0.300,3.8383,0.0012,42.434,0.00090
0.320,4.0735,0.0015,42.336,0.00102
0.340,4.3084,0.0017,42.279,0.00115
0.360,4.5436,0.0020,42.353,0.00128
0.380,4.7800,0.0024,42.541,0.00142
0.400,5.0162,0.0027,42.517,0.00157
0.420,5.2538,0.0031,42.763,0.00173
0.440,5.4907,0.0036,42.644,0.00190
0.460,5.7279,0.0041,42.707,0.00207
0.480,5.9661,0.0046,42.870,0.00225
0.500,6.2044,0.0052,42.886,0.00244
0.520,6.4419,0.0058,42.753,0.00263
0.540,6.6785,0.0065,42.587,0.00283
0.560,6.9146,0.0072,42.504,0.00304
0.580,7.1509,0.0080,42.544,0.00326
0.600,7.3863,0.0088,42.362,0.00349
0.620,7.6214,0.0097,42.325,0.00372
0.640,7.8564,0.0106,42.296,0.00396
0.660,8.0919,0.0116,42.393,0.00421
0.680,8.3276,0.0127,42.432,0.00446
0.700,8.5637,0.0138,42.496,0.00472
0.720,8.7992,0.0149,42.378,0.00499
0.740,9.0345,0.0162,42.355,0.00527
0.760,9.2706,0.0175,42.496,0.00555
0.780,9.5081,0.0189,42.765,0.00585
0.800,9.7444,0.0203,42.538,0.00614
0.820,9.9823,0.0219,42.811,0.00645
0.840,10.2215,0.0235,43.053,0.00677
0.860,10.4614,0.0252,43.194,0.00709
0.880,10.7016,0.0270,43.241,0.00742
0.900,10.9415,0.0288,43.185,0.00775
0.920,11.1829,0.0308,43.447,0.00810
0.940,11.4262,0.0328,43.800,0.00845
0.960,11.6714,0.0350,44.124,0.00881
0.980,11.9178,0.0373,44.361,0.00918
1.000,12.1646,0.0396,44.425,0.00955
1.020,12.4102,0.0421,44.208,0.00993
1.040,12.6558,0.0446,44.207,0.01032
1.060,12.9020,0.0472,44.325,0.01072
1.080,13.1469,0.0500,44.093,0.01112
1.100,13.3923,0.0528,44.164,0.01153
1.120,13.6381,0.0557,44.242,0.01195
1.140,13.8845,0.0588,44.367,0.01238
1.160,14.1298,0.0619,44.154,0.01281
1.180,14.3744,0.0652,44.035,0.01325
1.200,14.6186,0.0685,43.956,0.01370
1.220,14.8616,0.0719,43.746,0.01415
1.240,15.1064,0.0755,44.059,0.01462
1.260,15.3506,0.0792,43.969,0.01509
1.280,15.5952,0.0830,44.029,0.01557
1.300,15.8395,0.0869,43.982,0.01605
1.320,16.0854,0.0910,44.267,0.01654
1.340,16.3326,0.0952,44.505,0.01704
1.360,16.5804,0.0996,44.619,0.01755
1.380,16.8261,0.1040,44.222,0.01807
1.400,17.0718,0.1086,44.232,0.01859
1.420,17.3181,0.1133,44.355,0.01912
1.440,17.5655,0.1181,44.535,0.01966
1.460,17.8123,0.1231,44.424,0.02020
1.480,18.0608,0.1283,44.752,0.02075
1.500,18.3081,0.1336,44.514,0.02131
1.520,18.5547,0.1390,44.395,0.02188
1.540,18.8022,0.1445,44.564,0.02245
1.560,19.0497,0.1502,44.572,0.02303
1.580,19.2993,0.1561,44.933,0.02362
1.600,19.5490,0.1622,44.967,0.02422
1.620,19.7981,0.1684,44.853,0.02482
1.640,20.0469,0.1747,44.785,0.02543
1.660,20.2945,0.1811,44.589,0.02605
1.680,20.5408,0.1877,44.359,0.02668
1.700,20.7878,0.1944,44.472,0.02731
1.720,21.0354,0.2014,44.577,0.02795
1.740,21.2842,0.2085,44.810,0.02860
1.760,21.5323,0.2157,44.674,0.02925
1.780,21.7821,0.2232,44.978,0.02991
1.800,22.0315,0.2309,44.926,0.03058
1.820,22.2826,0.2387,45.210,0.03126
1.840,22.5332,0.2467,45.132,0.03194
1.860,22.7830,0.2549,44.999,0.03263
1.880,23.0331,0.2632,45.044,0.03333
1.900,23.2843,0.2718,45.230,0.03404
1.920,23.5356,0.2805,45.259,0.03475
1.940,23.7862,0.2894,45.153,0.03547
1.960,24.0356,0.2984,44.912,0.03620
1.980,24.2835,0.3076,44.660,0.03693
2.000,24.5320,0.3169,44.750,0.03768
2.020,24.7814,0.3265,44.928,0.03843
2.040,25.0306,0.3363,44.899,0.03918
2.060,25.2788,0.3462,44.705,0.03995
2.080,25.5278,0.3564,44.863,0.04072
2.100,25.7756,0.3667,44.632,0.04150
2.120,26.0226,0.3771,44.504,0.04228
2.140,26.2702,0.3878,44.616,0.04307
2.160,26.5156,0.3986,44.210,0.04387
2.180,26.7614,0.4095,44.280,0.04468
2.200,27.0065,0.4207,44.175,0.04550
2.220,27.2518,0.4321,44.195,0.04632
2.240,27.4970,0.4436,44.181,0.04715
2.260,27.7423,0.4554,44.218,0.04798
2.280,27.9884,0.4674,44.343,0.04883
2.300,28.2337,0.4796,44.206,0.04968
2.320,28.4804,0.4921,44.462,0.05054
2.340,28.7278,0.5048,44.593,0.05140
2.360,28.9760,0.5178,44.745,0.05227
2.380,29.2254,0.5311,44.954,0.05315
2.400,29.4756,0.5446,45.096,0.05404
2.420,29.7266,0.5584,45.248,0.05493
2.440,29.9777,0.5725,45.262,0.05583
2.460,30.2273,0.5866,45.005,0.05674
2.480,30.4768,0.6010,44.980,0.05766
2.500,30.7254,0.6156,44.842,0.05858
2.520,30.9727,0.6304,44.586,0.05951
2.540,31.2202,0.6453,44.632,0.06045
2.560,31.4671,0.6605,44.530,0.06139
2.580,31.7130,0.6759,44.345,0.06234
2.600,31.9578,0.6914,44.157,0.06330
2.620,32.2029,0.7072,44.205,0.06426
2.640,32.4483,0.7232,44.270,0.06524
2.660,32.6951,0.7396,44.508,0.06621
2.680,32.9418,0.7562,44.505,0.06720
2.700,33.1895,0.7731,44.693,0.06819
2.720,33.4386,0.7903,44.945,0.06919
2.740,33.6888,0.8079,45.152,0.07020
2.760,33.9366,0.8256,44.727,0.07122
2.780,34.1857,0.8436,44.948,0.07224
2.800,34.4351,0.8619,45.009,0.07327
2.820,34.6849,0.8805,45.085,0.07430
2.840,34.9350,0.8994,45.152,0.07535
2.860,35.1855,0.9186,45.221,0.07640
2.880,35.4363,0.9381,45.278,0.07745
2.900,35.6867,0.9578,45.214,0.07852
2.920,35.9352,0.9776,44.871,0.07959
2.940,36.1836,0.9977,44.852,0.08066
2.960,36.4311,1.0179,44.707,0.08175
2.980,36.6797,1.0386,44.902,0.08284
3.000,36.9280,1.0595,44.850,0.08394
3.020,37.1763,1.0806,44.865,0.08505
3.040,37.4238,1.1020,44.712,0.08616
3.060,37.6708,1.1236,44.620,0.08728
3.080,37.9177,1.1455,44.618,0.08841
3.100,38.1631,1.1675,44.350,0.08954
3.120,38.4087,1.1899,44.404,0.09068
3.140,38.6543,1.2125,44.385,0.09183
3.160,38.8986,1.2353,44.172,0.09298
3.180,39.1406,1.2581,43.740,0.09414
3.200,39.3830,1.2813,43.833,0.09531
3.220,39.6251,1.3047,43.779,0.09649
3.240,39.8666,1.3284,43.684,0.09767
3.260,40.1078,1.3523,43.641,0.09886
3.280,40.3509,1.3767,43.968,0.10005
3.300,40.5939,1.4014,43.959,0.10126
3.320,40.8369,1.4264,43.975,0.10247
3.340,41.0784,1.4515,43.707,0.10368
3.360,41.3215,1.4771,44.004,0.10490
3.380,41.5655,1.5031,44.169,0.10613
3.400,41.8105,1.5295,44.361,0.10737
3.420,42.0556,1.5562,44.369,0.10862
3.440,42.3015,1.5834,44.534,0.10987
3.460,42.5478,1.6109,44.601,0.11112
3.480,42.7946,1.6387,44.711,0.11239
3.500,43.0412,1.6669,44.684,0.11366
3.520,43.2864,1.6952,44.419,0.11494
3.540,43.5325,1.7239,44.604,0.11622
3.560,43.7767,1.7527,44.256,0.11751
3.580,44.0206,1.7818,44.212,0.11881
3.600,44.2642,1.8112,44.176,0.12012
3.620,44.5068,1.8408,43.988,0.12143
3.640,44.7500,1.8708,44.098,0.12275
3.660,44.9929,1.9011,44.062,0.12407
3.680,45.2353,1.9317,43.984,0.12540
3.700,45.4782,1.9627,44.077,0.12674
3.720,45.7206,1.9939,43.991,0.12809
3.740,45.9643,2.0256,44.241,0.12944
3.760,46.2084,2.0577,44.305,0.13080
3.780,46.4519,2.0901,44.219,0.13216
3.800,46.6934,2.1225,43.869,0.13353
3.820,46.9336,2.1551,43.634,0.13491
3.840,47.1749,2.1882,43.830,0.13630
3.860,47.4160,2.2216,43.820,0.13769
3.880,47.6568,2.2553,43.770,0.13909
3.900,47.8992,2.2896,44.065,0.14049
3.920,48.1403,2.3241,43.834,0.14191
3.940,48.3808,2.3588,43.729,0.14332
3.960,48.6207,2.3937,43.644,0.14475
3.980,48.8611,2.4291,43.749,0.14618
4.000,49.1009,2.4648,43.630,0.14762
4.020,49.3400,2.5007,43.520,0.14906
4.040,49.5775,2.5367,43.231,0.15052
4.060,49.8156,2.5732,43.362,0.15197
4.080,50.0544,2.6101,43.507,0.15344
4.100,50.2928,2.6473,43.421,0.15491
4.120,50.5312,2.6849,43.451,0.15639
4.140,50.7683,2.7227,43.218,0.15787
4.160,51.0049,2.7607,43.133,0.15936
4.180,51.2428,2.7993,43.381,0.16086
4.200,51.4808,2.8383,43.406,0.16236
4.220,51.7210,2.8780,43.821,0.16387
4.240,51.9603,2.9180,43.680,0.16539
4.260,52.2002,2.9584,43.784,0.16691
4.280,52.4398,2.9991,43.749,0.16844
4.300,52.6799,3.0403,43.851,0.16998
4.320,52.9200,3.0819,43.850,0.17152
4.340,53.1594,3.1238,43.749,0.17307
4.360,53.3979,3.1658,43.592,0.17462
4.380,53.6393,3.2088,44.144,0.17619
4.400,53.8806,3.2522,44.130,0.17775
4.420,54.1199,3.2956,43.767,0.17933
4.440,54.3584,3.3392,43.651,0.18091
4.460,54.5976,3.3833,43.773,0.18250
4.480,54.8362,3.4277,43.683,0.18409
4.500,55.0760,3.4728,43.928,0.18569
4.520,55.3168,3.5184,44.108,0.18730
4.540,55.5573,3.5644,44.081,0.18891
4.560,55.7973,3.6107,43.996,0.19053
4.580,56.0362,3.6572,43.815,0.19215
4.600,56.2744,3.7039,43.689,0.19378
4.620,56.5110,3.7508,43.424,0.19542
4.640,56.7488,3.7982,43.640,0.19707
4.660,56.9880,3.8464,43.927,0.19872
4.680,57.2260,3.8947,43.701,0.20037
4.700,57.4626,3.9432,43.488,0.20204
4.720,57.6975,3.9917,43.169,0.20371
4.740,57.9314,4.0405,42.996,0.20538
4.760,58.1621,4.0889,42.437,0.20706
4.780,58.3916,4.1375,42.231,0.20875
4.800,58.6223,4.1868,42.465,0.21044
4.820,58.8526,4.2364,42.402,0.21214
4.840,59.0836,4.2866,42.556,0.21385
4.860,59.3141,4.3371,42.468,0.21556
4.880,59.5462,4.3883,42.785,0.21728
4.900,59.7784,4.4400,42.821,0.21901
4.920,60.0102,4.4920,42.752,0.22074
4.940,60.2443,4.5450,43.212,0.22247
4.960,60.4781,4.5983,43.153,0.22422
4.980,60.7105,4.6517,42.934,0.22597
5.000,60.9431,4.7056,42.970,0.22772
5.020,61.1755,4.7599,42.963,0.22948
5.040,61.4089,4.8148,43.155,0.23125
5.060,61.6413,4.8700,42.989,0.23302
5.080,61.8743,4.9257,43.134,0.23480
5.100,62.1081,4.9821,43.287,0.23659
5.120,62.3411,5.0387,43.167,0.23838
5.140,62.5742,5.0958,43.196,0.24018
5.160,62.8064,5.1531,43.047,0.24198
5.180,63.0408,5.2114,43.469,0.24379
5.200,63.2743,5.2700,43.342,0.24561
5.220,63.5073,5.3288,43.261,0.24743
5.240,63.7392,5.3879,43.069,0.24926
5.260,63.9707,5.4472,43.007,0.25109
5.280,64.2020,5.5070,43.006,0.25293
5.300,64.4339,5.5674,43.144,0.25477
5.320,64.6652,5.6281,43.034,0.25663
5.340,64.8961,5.6892,43.001,0.25848
5.360,65.1256,5.7503,42.746,0.26035
5.380,65.3542,5.8116,42.597,0.26221
5.400,65.5853,5.8741,43.093,0.26409
5.420,65.8173,5.9373,43.280,0.26597
5.440,66.0484,6.0008,43.139,0.26786
5.460,66.2781,6.0643,42.899,0.26975
5.480,66.5067,6.1280,42.723,0.27165
5.500,66.7352,6.1921,42.719,0.27355
5.520,66.9637,6.2566,42.725,0.27546
