timestamp_s,accel_x_mps2,accel_y_mps2,gyro_z_radps,velocity_kmh,heading_rad
0.000,-0.4357,-0.5662,-0.01926,43.223,0.00000
0.020,0.5753,-0.2883,0.01924,43.199,0.00001
0.040,0.4856,-0.0514,0.00975,43.314,0.00002
0.060,-0.8114,0.3375,-0.03592,43.333,0.00004
0.080,-0.1447,0.6319,0.02641,43.237,0.00007
0.100,1.3589,0.1390,0.02169,43.302,0.00011
0.120,2.9030,-0.4746,0.02754,43.536,0.00016
0.140,0.5966,-0.2879,0.01556,43.707,0.00021
0.160,-1.8621,0.1793,-0.02474,43.580,0.00027
0.180,-2.1286,-0.1854,0.02670,43.352,0.00034
0.200,-0.2145,-0.4230,0.02101,43.240,0.00041
0.220,-2.6842,-0.1029,0.03162,43.248,0.00049
0.240,-2.5320,0.0183,0.01514,42.829,0.00058
0.260,-1.7298,0.1930,-0.00695,42.790,0.00068
0.280,-1.5878,-0.3377,0.02498,42.566,0.00079
0.300,-1.3058,-0.0195,0.02258,42.434,0.00090
0.320,-1.2487,0.2956,0.02089,42.336,0.00102
0.340,0.2430,0.3234,0.00908,42.279,0.00115
0.360,1.1709,0.5083,0.00719,42.353,0.00128
0.380,1.6768,0.2685,-0.02613,42.541,0.00142
0.400,1.4879,0.1084,-0.00950,42.517,0.00157
0.420,1.4195,0.9236,0.01281,42.763,0.00173
0.440,0.5414,0.0502,-0.03514,42.644,0.00190
0.460,1.6227,0.7365,-0.01680,42.707,0.00207
0.480,1.3119,-0.1261,0.00999,42.870,0.00225
0.500,-0.8225,0.5453,0.03030,42.886,0.00244
0.520,-1.8826,-0.4980,0.03607,42.753,0.00263
0.540,-0.7881,0.3881,0.02314,42.587,0.00283
0.560,0.2663,-0.1646,0.02823,42.504,0.00304
0.580,-0.8406,-0.0293,0.04452,42.544,0.00326
0.600,-1.0498,-0.0043,0.06542,42.362,0.00349
0.620,-1.2342,-0.1356,0.02408,42.325,0.00372
0.640,0.5760,-0.9891,0.00714,42.296,0.00396
0.660,-0.1381,0.9056,0.02148,42.393,0.00421
0.680,1.2116,-0.0282,-0.00774,42.432,0.00446
0.700,-1.1913,-0.4280,0.01511,42.496,0.00472
0.720,-0.7110,0.6107,0.03690,42.378,0.00499
0.740,0.5059,0.8063,0.04314,42.355,0.00527
0.760,3.9194,0.1297,0.03839,42.496,0.00555
0.780,-0.1639,0.0629,0.02508,42.765,0.00585
0.800,0.2359,-0.3390,0.04478,42.538,0.00614
0.820,4.3005,0.3361,0.04920,42.811,0.00645
0.840,2.8851,-0.2254,0.03393,43.053,0.00677
0.860,1.4387,0.9420,0.01001,43.194,0.00709
0.880,-0.1052,0.1047,0.01330,43.241,0.00742
0.900,1.5163,0.3994,0.02480,43.185,0.00775
0.920,4.0212,-0.1352,0.00882,43.447,0.00810
